TimeCEST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,10,6,67,1032,30,North,14.4,,,,,10,2015-06-08 22:00:00
12:25 AM,9.0,6.0,82,1031,10.0,North,11.1,-,N/A,,Unknown,360,2015-06-08 22:25:00
12:55 AM,10.0,6.0,76,1031,10.0,North,11.1,-,N/A,,Mostly Cloudy,10,2015-06-08 22:55:00
1:00 AM,10,6,74,1032,25,North,10.8,,,,Partly Cloudy,10,2015-06-08 23:00:00
1:25 AM,10.0,6.0,76,1031,10.0,North,11.1,-,N/A,,Partly Cloudy,10,2015-06-08 23:25:00
1:55 AM,10.0,6.0,76,1031,10.0,NNE,9.3,-,N/A,,Scattered Clouds,20,2015-06-08 23:55:00
2:00 AM,9,6,78,1032,23,NNE,7.2,,,,Partly Cloudy,30,2015-06-09 00:00:00
2:25 AM,9.0,6.0,82,1031,10.0,NE,9.3,-,N/A,,Partly Cloudy,40,2015-06-09 00:25:00
2:55 AM,9.0,7.0,87,1031,10.0,NNE,7.4,-,N/A,,Mostly Cloudy,30,2015-06-09 00:55:00
3:00 AM,9,7,81,1031,21,NNE,7.2,,,,Mostly Cloudy,30,2015-06-09 01:00:00
3:25 AM,10.0,7.0,82,1031,10.0,NE,11.1,-,N/A,,Overcast,40,2015-06-09 01:25:00
3:55 AM,10.0,7.0,82,1031,10.0,NE,11.1,-,N/A,,Mostly Cloudy,40,2015-06-09 01:55:00
4:00 AM,10,6,74,1031,24,NE,14.4,,,,Partly Cloudy,40,2015-06-09 02:00:00
4:25 AM,9.0,6.0,82,1031,10.0,NE,11.1,-,N/A,,Partly Cloudy,40,2015-06-09 02:25:00
4:55 AM,8.0,6.0,87,1031,10.0,NE,13.0,-,N/A,,Unknown,50,2015-06-09 02:55:00
5:00 AM,8,6,77,1031,22,NE,10.8,,,,Partly Cloudy,50,2015-06-09 03:00:00
5:25 AM,8.0,6.0,87,1031,10.0,NE,9.3,-,N/A,,Unknown,40,2015-06-09 03:25:00
5:55 AM,8.0,6.0,87,1031,10.0,NE,7.4,-,N/A,,Partly Cloudy,40,2015-06-09 03:55:00
6:00 AM,8,6,88,1031,22,ENE,7.2,,,,Overcast,60,2015-06-09 04:00:00
6:25 AM,9.0,7.0,87,1031,10.0,NNE,3.7,-,N/A,,Partly Cloudy,20,2015-06-09 04:25:00
6:55 AM,10.0,7.0,82,1031,10.0,Variable,3.7,-,N/A,,Overcast,0,2015-06-09 04:55:00
7:00 AM,10,7,75,1031,22,NNE,7.2,,,,Overcast,20,2015-06-09 05:00:00
7:25 AM,10.0,7.0,82,1031,10.0,NNE,7.4,-,N/A,,Scattered Clouds,20,2015-06-09 05:25:00
7:55 AM,10.0,8.0,87,1031,10.0,ENE,11.1,-,N/A,Rain,Light Rain,60,2015-06-09 05:55:00
8:00 AM,10,8,79,1032,14,NE,7.2,,,Rain,Light Rain Showers,50,2015-06-09 06:00:00
8:25 AM,10.0,8.0,87,1031,10.0,NNE,5.6,-,N/A,,Drizzle,30,2015-06-09 06:25:00
8:55 AM,10.0,8.0,87,1031,10.0,NNE,7.4,-,N/A,,Light Drizzle,30,2015-06-09 06:55:00
9:00 AM,10,7,78,1032,22,NNE,7.2,,,Rain,Light Drizzle,30,2015-06-09 07:00:00
9:25 AM,11.0,7.0,76,1031,10.0,NNE,9.3,-,N/A,Rain,Light Rain,30,2015-06-09 07:25:00
9:55 AM,11.0,7.0,76,1031,10.0,NE,14.8,-,N/A,,Overcast,40,2015-06-09 07:55:00
10:00 AM,12,7,65,1032,30,NE,14.4,,,Rain,Rain,50,2015-06-09 08:00:00
10:25 AM,11.0,6.0,71,1031,10.0,NNE,16.7,-,N/A,,Mostly Cloudy,30,2015-06-09 08:25:00
10:55 AM,11.0,6.0,71,1031,10.0,NNE,20.4,-,N/A,,Overcast,30,2015-06-09 08:55:00
11:00 AM,12,6,61,1032,28,NNE,14.4,,,,Partly Cloudy,30,2015-06-09 09:00:00
11:25 AM,13.0,6.0,63,1031,10.0,NE,18.5,-,N/A,,Overcast,50,2015-06-09 09:25:00
11:55 AM,12.0,6.0,67,1031,10.0,NNE,18.5,-,N/A,,Overcast,30,2015-06-09 09:55:00
12:00 PM,12,6,53,1032,30,NNE,21.6,,,,Partly Cloudy,30,2015-06-09 10:00:00
12:25 PM,12.0,6.0,67,1031,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 10:25:00
12:55 PM,13.0,5.0,58,1031,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 10:55:00
1:00 PM,13,5,49,1032,35,NE,21.6,,,,Partly Cloudy,40,2015-06-09 11:00:00
1:25 PM,13.0,6.0,63,1031,10.0,North,22.2,-,N/A,,Overcast,10,2015-06-09 11:25:00
1:55 PM,14.0,6.0,59,1031,10.0,NNE,22.2,-,N/A,,Overcast,20,2015-06-09 11:55:00
2:00 PM,13,6,50,1031,29,NNE,21.6,,,,Partly Cloudy,20,2015-06-09 12:00:00
2:25 PM,13.0,5.0,58,1031,10.0,North,24.1,-,N/A,,Overcast,10,2015-06-09 12:25:00
2:55 PM,14.0,6.0,59,1031,10.0,NNE,22.2,-,N/A,,Mostly Cloudy,20,2015-06-09 12:55:00
3:00 PM,14,5,45,1031,30,NNE,21.6,,,,Overcast,30,2015-06-09 13:00:00
3:25 PM,14.0,6.0,59,1031,10.0,NNE,24.1,-,N/A,,Overcast,30,2015-06-09 13:25:00
3:55 PM,14.0,6.0,59,1030,10.0,North,22.2,-,N/A,,Overcast,10,2015-06-09 13:55:00
4:00 PM,14,6,47,1031,24,NNE,21.6,,,,Overcast,20,2015-06-09 14:00:00
4:25 PM,14.0,6.0,59,1030,10.0,NNE,22.2,-,N/A,,Overcast,30,2015-06-09 14:25:00
4:55 PM,14.0,5.0,55,1030,10.0,NNE,20.4,-,N/A,,Overcast,20,2015-06-09 14:55:00
5:00 PM,13,6,49,1031,35,North,21.6,,,,Overcast,10,2015-06-09 15:00:00
5:25 PM,14.0,5.0,55,1030,10.0,NNE,22.2,-,N/A,,Overcast,20,2015-06-09 15:25:00
5:55 PM,13.0,5.0,58,1030,10.0,NNE,18.5,-,N/A,,Overcast,20,2015-06-09 15:55:00
6:00 PM,13,5,47,1030,30,NNE,21.6,,,,Overcast,20,2015-06-09 16:00:00
6:25 PM,13.0,5.0,58,1030,10.0,NNE,20.4,-,N/A,,Overcast,30,2015-06-09 16:25:00
6:55 PM,13.0,5.0,58,1030,10.0,NNE,18.5,-,N/A,,Overcast,30,2015-06-09 16:55:00
7:00 PM,13,5,46,1030,35,NE,18.0,,,,Overcast,40,2015-06-09 17:00:00
7:25 PM,13.0,5.0,58,1030,10.0,NNE,20.4,-,N/A,,Overcast,30,2015-06-09 17:25:00